id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2023-06-21T11:46:21;PENDING;33498;IDEAL;Cambridgeshire invoice Buckinghamshire;1
2;2023-06-21T02:50:07;CANCELLED;25943;IDEAL;bypassing 읍 세종;2
3;2023-06-21T18:12:19;REFUNDED;70368;CREDIT_CARD;program;1
4;2023-06-21T11:41:04;PAID;6346;IDEAL;COM;2
5;2023-06-21T16:44:05;PENDING;23194;IDEAL;program Loan Iranian;1
6;2023-06-21T21:54:40;PENDING;74315;IDEAL;invoice;1
7;2023-06-21T23:56:52;COMPLETED;46169;CREDIT_CARD;bleeding-edge;1
8;2023-06-21T23:01:36;CANCELLED;26007;CREDIT_CARD;Afghanistan Research;1
9;2023-06-21T18:26:25;COMPLETED;9536;IDEAL;generating;1
10;2023-06-21T21:48:12;COMPLETED;49243;CREDIT_CARD;override;1
